ID,logFC,fdr,pseudo_t,Rank_FC,Rank_t,Normed_FC,Normed_t
PUSL1,0.162706082,0.800834647,0.0964571459740225,0.6154784842646114,0.5973025048169557,48.35747524692199,NA
USP35,0.178394798,0.800886257,0.09642915865343148,0.6254977520873475,0.5972382787411689,48.43949921939322,NA
CALD1,0.104957893,0.801308394,0.09620030784078525,0.5736030828516377,0.5971740526653821,48.05555532786682,NA
SKAP1,0.266894974,0.801373929,0.09616479052275038,0.6788696210661529,0.5971098265895953,48.902197122773174,NA
DYNC2H1,0.143835931,0.801447641,0.09612484507221268,0.6036608863198458,0.5970456005138086,48.258818049854234,NA
RNF113A1,0.194972766,0.801464792,0.09611555125864427,0.636480411046885,0.5969171483622351,48.52617239206465,NA
CCT2,0.073783299,0.801464792,0.09611555125864427,0.5506743737957611,0.5969171483622351,47.892567863497014,NA
GM10602,0.256139368,0.801558119,0.09606498254764177,0.671868978805395,0.5968529222864483,48.84596450753204,NA
GM21811,0.164643303,0.801657791,0.09601098233546068,0.6165703275529865,0.5967886962106616,48.36760345384312,NA
GM43079,0.264069178,0.802042012,0.09580288221221826,0.6770070648683365,0.5967244701348747,48.887423255153074,NA
GM28043,0.168124155,0.802087278,0.0957783720007963,0.6190109184328838,0.596660244059088,48.385802094740455,NA
SFT2D3,0.14568507,0.802087278,0.09577837200079628,0.6055234425176622,0.5965960179833012,48.26848574518581,NA
E130208F15RIK,0.197846547,0.802257434,0.09568624988815166,0.6387925497752087,0.596403339755941,48.54119713555751,NA
SMARCA4,0.089325304,0.802257434,0.09568624988815166,0.5620423892100193,0.596403339755941,47.973824799390805,NA
TXNRD1,0.083675619,0.802257434,0.09568624988815166,0.5579961464354528,0.596403339755941,47.944287034355646,NA
SNAP23,0.079407941,0.802798783,0.09539329455125001,0.555427103403982,0.5963391136801541,47.92197469835644,NA
GM6741,0.194938655,0.802995854,0.09528669704955112,0.6364161849710983,0.5962748876043674,48.525994052439856,NA
GMFB,0.090117718,0.803096727,0.0952321440457593,0.5629415542710341,0.5962106615285806,47.97796770975528,NA
TIA1,0.145417219,0.803181394,0.09518636067804405,0.6053949903660887,0.5959537572254335,48.267085362703874,NA
EPC2,0.124738181,0.803181394,0.09518636067804405,0.5888888888888889,0.5959537572254335,48.15897091639459,NA
MTPAP,0.105833659,0.803181394,0.09518636067804405,0.5741811175337187,0.5959537572254335,48.06013402036627,NA
GNG12,0.075918585,0.803181394,0.09518636067804405,0.5525369299935774,0.5959537572254335,47.903731596723,NA
SNRNP70,0.09524931,0.803181394,0.09518636067804404,0.5667308927424535,0.5958895311496467,48.00479677345569,NA
MSL3,0.07884021,0.803206829,0.0951726077383873,0.5549775208734746,0.59582530507386,47.919006478910376,NA
AJUBA,0.170293539,0.80331547,0.09511386944772084,0.6205523442517662,0.5957610789980732,48.39714409962445,NA
FTL1,0.107600773,0.803895787,0.09480024735142274,0.5757225433526012,0.5956968529222865,48.0693728714035,NA
ZFP37,0.257447279,0.80417577,0.0946490164281145,0.6727681438664097,0.5956326268464996,48.852802546786414,NA
GM42809,0.283444669,0.804297895,0.09458306792692547,0.6872190109184328,0.5955684007707129,48.988722478136054,NA
ZBTB8A,0.159098361,0.80431155,0.09457569473740586,0.6129736673089274,0.5955041746949261,48.338613307679296,NA
GNB2,0.079952222,0.804327172,0.09456725959494194,0.5556840077071291,0.5954399486191394,47.9248203161725,NA
SLC26A2,0.134032647,0.804479863,0.09448482228892237,0.5960822093770071,0.5953114964675659,48.20756437830179,NA
CRAMP1L,0.096755019,0.804479863,0.09448482228892237,0.5674373795761078,0.5953114964675659,48.01266894308166,NA
DPH6,0.148163415,0.804584375,0.09442840566628591,0.6068079640333975,0.5951830443159923,48.28144306444981,NA
LIN7C,0.124180845,0.804584375,0.09442840566628591,0.5884393063583815,0.5951830443159923,48.156057044238246,NA
SLC23A2,0.104750664,0.80504218,0.09418136427642908,0.5734104046242775,0.5950545921644188,48.054471890204276,NA
SMAP1,0.076821531,0.80504218,0.09418136427642908,0.5536929993577392,0.5950545921644188,47.90845239209255,NA
ZNHIT1,0.099690662,0.80530537,0.09403940490162228,0.5695568400770713,0.594990366088632,48.0280171143799,NA
POLR1C,0.078915765,0.805428218,0.09397315905064635,0.5550417469492614,0.5949261400128452,47.919401496656896,NA
4930435F18RIK,0.272624228,0.805484626,0.0939427443907391,0.6820166987797046,0.5947976878612716,48.93215089160784,NA
AP5S1,0.104415782,0.805484626,0.0939427443907391,0.5733461785484907,0.5947976878612716,48.05272105527622,NA
INO80,0.095020278,0.805636064,0.09386110098766899,0.5664739884393064,0.5947334617854849,48.00359934503241,NA
FDX1L,0.103220429,0.805722923,0.0938142804036222,0.5721901091843289,0.5946692357096981,48.04647149338949,NA
ZDHHC8,0.204703267,0.805958974,0.09368706466995713,0.642903018625562,0.5946050096339114,48.57704553848118,NA
ZDHHC7,0.076639123,0.806004214,0.09366268758428582,0.5533076429030186,0.5945407835581246,47.907498723942105,NA
SREBF2,0.109312838,0.806082193,0.09362067265346864,0.5769428387925498,0.5944765574823379,48.07832391446075,NA
CYB561D2,0.118578244,0.806254422,0.09352789040947274,0.5842646114322415,0.594412331406551,48.12676544445459,NA
HINT1,0.072287617,0.806268569,0.0935202700976137,0.5493898522800257,0.5943481053307643,47.884748117177836,NA
AP1M2,0.283640756,0.80645624,0.09341919336136414,0.6872832369942197,0.5942196531791908,48.98974766303264,NA
SFR1,0.088260807,0.80645624,0.09341919336136414,0.5611432241490045,0.5942196531791908,47.96825938074062,NA
PPID,0.095919523,0.806630296,0.09332547047799926,0.566859344894027,0.594155427103404,48.0083007907801,NA
TMEM206,0.221175007,0.80667162,0.09330322196394727,0.6536929993577393,0.5940912010276173,48.663163328382744,NA
REV1,0.115481134,0.807179919,0.09302965100302331,0.5819524727039178,0.5940269749518304,48.11057308904575,NA
GSK3A,0.072165608,0.807203772,0.09301681734230761,0.5491971740526653,0.5939627488760437,47.88411022795495,NA
PHF13,0.122566573,0.807356153,0.0929348405427864,0.5872190109184329,0.5938985228002569,48.14761728396155,NA
PURG,0.225442334,0.807615355,0.09279543251149013,0.656005138086063,0.5938342967244702,48.68547382927867,NA
4930577N17RIK,0.266967569,0.807957915,0.09261126021461828,0.6789980732177264,0.5937058445728965,48.90257666500477,NA
B3GNT8,0.193698668,0.807957915,0.09261126021461828,0.6354527938342968,0.5937058445728965,48.51951113442715,NA
GM43802,0.279734868,0.808478389,0.09233158449411334,0.6857418111753372,0.5936416184971098,48.96932684275724,NA
ZFAND5,0.087254835,0.808502199,0.09231879454265494,0.5603725112395632,0.593577392421323,47.96299994334404,NA
SPRR2A2,0.271054855,0.808616427,0.09225744024326865,0.6811817597944766,0.5934489402697495,48.92394587293396,NA
IRX3,0.246582711,0.808616427,0.09225744024326865,0.6667308927424535,0.5934489402697495,48.79600025483698,NA
GM5970,0.225353609,0.808666193,0.09223071257189457,0.6558766859344894,0.5933847141939628,48.685009955947194,NA
LTBP4,0.15203365,0.80880873,0.09215416976823555,0.608927424534361,0.593320488118176,48.30167748319364,NA
RWDD2B,0.095073505,0.808915127,0.09209704304681426,0.5665382145150931,0.5932562620423892,48.00387762720559,NA
ZBTB4,0.092779101,0.808915127,0.09209704304681425,0.5647398843930636,0.5931920359666024,47.991881990944854,NA
GM38394,0.128548094,0.809615266,0.09172131142688764,0.5910725754656391,0.5931278098908157,48.17888995878338,NA
PPFIA2,0.275874624,0.809889356,0.09157430872734068,0.6840077071290944,0.5930635838150289,48.94914465910446,NA
RPF2,0.098004083,0.809975028,0.09152837046577285,0.5679511881824021,0.5929993577392422,48.01919931759738,NA
SHISA2,0.268514016,0.810135639,0.0914422621860334,0.6797045600513809,0.5929351316634554,48.91066182163302,NA
GM10762,0.146808092,0.810301107,0.09135356777724668,0.6061657032755299,0.5928709055876686,48.274357145089574,NA
SYNGAP1,0.202270231,0.81069314,0.09114350192135787,0.6416184971098265,0.5928066795118818,48.56432510438795,NA
HDGFL3,0.192041522,0.810745737,0.09111532622235786,0.6343609505459217,0.5927424534360951,48.510847219682006,NA
LAMTOR1,0.081938374,0.811428878,0.09074954021947353,0.5567116249197174,0.5926782273603083,47.935204344857304,NA
GM45133,0.163962405,0.81156718,0.0906755242718863,0.6163134232498394,0.5924855491329479,48.364043573046764,NA
NTPCR,0.124131345,0.81156718,0.0906755242718863,0.588310854206808,0.5924855491329479,48.15579824762051,NA
