Gene,MDA468_B2_24h_a,MDA468_B2_24h_b,MDA468_B3_24h_a,MDA468_B3_24h_b,MDA468_B6_24h_a,MDA468_B6_24h_b,MDA468_D_24h_a,MDA468_D_24h_b,MDA468_J_24h_a,MDA468_J_24h_b,MDA468_JB2_24h_a,MDA468_JB2_24h_b,MDA468_JB3_24h_a,MDA468_JB3_24h_b,MDA468_JB6_24h_a,MDA468_JB6_24h_b
GPSM1,13,12,11,17,16,14,11,14,9,17,5,9,7,7,2,3
GPSM2,43,42,29,31,27,24,39,47,28,45,25,44,17,13,17,27
GPSM3,0,2,1,0,0,1,2,4,0,1,0,2,0,0,0,0
GPT,0,2,0,1,1,0,0,2,0,0,0,1,0,1,0,0
GPT2,200,172,305,342,266,296,152,205,94,126,163,279,172,164,105,148
GPX1,1318,946,605,764,367,483,634,1192,665,971,616,1057,357,396,171,445
GPX1P1,10,1,3,0,2,1,1,1,0,0,2,2,3,0,3,7
GPX1P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPX2,1,1,2,3,1,0,0,0,1,0,0,0,0,0,1,1
GPX3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPX4,1609,1411,631,763,483,580,1104,1797,1631,2359,1143,1791,972,871,662,1142
GPX5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPX6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPX7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPX8,14,15,23,19,30,29,7,18,4,3,9,3,6,8,4,12
GRAMD1A,137,76,126,117,79,114,87,128,83,75,82,124,69,67,49,96
GRAMD1B,19,10,4,8,12,8,12,16,3,4,11,5,7,3,0,3
GRAMD1C,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1
GRAMD2A,43,21,10,14,11,11,25,32,13,13,7,6,2,2,5,5
GRAMD2B,57,54,37,76,47,58,39,68,63,69,46,88,67,34,29,49
GRAMD4,39,33,21,22,18,13,36,44,26,23,19,19,13,16,13,15
GRAMD4P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAMD4P2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAMD4P3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRAMD4P4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
