Gene,HCC70_D_a,HCC70_J_a,HCC70_JB2_a,HCC70_JB3_a,HCC70_JB6_a,HCC70_B2_a,HCC70_B3_a,HCC70_B6_a,HCC70_D_b,HCC70_J_b,HCC70_JB2_b,HCC70_JB3_b,HCC70_JB6_b,HCC70_B2_b,HCC70_B3_b,HCC70_B6_b
AC008953.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008957.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008957.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008957.3,2,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0
AC008958.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008962.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008966.1,4,6,1,1,2,1,0,3,18,4,1,1,0,6,0,2
AC008966.2,0,0,0,0,0,0,0,1,3,0,0,0,0,2,1,0
AC008967.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008969.1,40,24,7,11,2,18,11,23,30,29,7,5,5,35,20,18
AC008972.1,0,2,0,0,1,1,0,0,0,1,0,0,0,2,0,0
AC008972.2,4,3,2,2,4,2,1,1,2,4,0,1,0,2,0,1
AC008982.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008982.2,38,33,15,23,9,16,20,36,20,41,17,18,5,25,33,40
AC008985.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008991.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008991.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008992.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008993.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008993.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC008993.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009005.1,24,12,2,0,2,8,3,4,29,9,3,1,2,39,8,7
AC009014.1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
AC009019.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009021.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009021.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009022.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009027.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009032.1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0
AC009033.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009034.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009035.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009039.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009039.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009041.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009041.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009041.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009041.4,4,2,4,8,3,6,0,3,6,5,1,2,2,10,6,2
AC009044.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009052.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009053.1,5,1,2,4,3,4,3,6,1,9,2,5,1,10,2,15
AC009053.2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
AC009053.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009053.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009054.1,0,0,0,1,1,0,1,0,0,3,2,0,0,0,1,2
AC009054.2,8,6,7,3,8,5,4,7,7,8,3,4,4,10,2,10
AC009055.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009055.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009060.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009060.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009061.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009061.2,46,19,11,10,6,19,8,10,59,49,11,10,2,25,9,6
AC009063.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009063.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009063.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009065.1,20,17,1,2,4,12,5,3,37,16,1,0,0,10,6,5
AC009065.2,1,2,0,1,0,0,4,3,1,3,2,0,0,2,2,1
AC009065.3,2,3,0,1,2,1,1,1,2,1,0,2,0,1,1,0
AC009065.4,29,43,19,27,20,20,7,7,35,51,7,8,6,21,6,18
AC009065.5,1,2,3,3,1,2,0,2,2,2,0,0,0,1,2,0
AC009065.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009065.7,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
AC009065.8,0,1,0,0,0,0,0,0,1,2,0,0,0,3,3,0
AC009075.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009075.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009078.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009078.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009078.3,90,32,84,80,34,141,71,82,166,58,34,37,20,108,111,63
AC009081.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009084.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009084.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009084.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AC009086.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009086.2,2,1,1,0,0,1,0,3,0,0,1,0,0,1,1,2
AC009086.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009087.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009088.1,2,3,1,2,2,2,2,3,2,4,3,5,2,3,3,6
AC009088.2,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0
AC009088.3,1,0,2,2,4,0,2,2,0,2,1,0,2,1,1,3
AC009088.4,1,1,1,4,5,0,2,1,2,1,4,1,2,5,5,3
AC009090.1,3,4,4,4,3,6,4,7,6,12,7,0,4,6,8,7
AC009090.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009090.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009090.4,0,0,1,1,0,0,0,2,1,2,0,1,0,1,1,1
AC009090.5,5,3,1,3,3,8,2,7,7,5,3,2,0,16,6,8
AC009093.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009093.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009093.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009093.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009093.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009093.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009093.6,1,0,0,0,0,2,2,1,1,0,0,0,0,2,0,2
AC009093.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009093.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009093.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009094.1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
AC009095.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009097.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009097.2,2,5,0,1,1,1,0,1,3,6,0,0,1,1,2,1
AC009097.3,1,2,1,0,0,1,0,1,0,4,0,0,0,0,1,0
AC009097.4,0,4,0,0,0,1,0,0,0,3,0,2,0,0,0,0
AC009101.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009101.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009102.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009102.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009102.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009107.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009107.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009108.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009108.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009108.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009108.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009110.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009113.1,16,19,5,5,6,2,2,5,14,35,10,5,2,12,3,2
AC009113.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009117.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009117.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009117.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009118.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009118.2,17,32,7,13,8,11,12,14,24,27,13,10,1,11,8,7
AC009118.3,12,9,2,3,2,6,1,5,8,7,1,2,1,7,3,11
AC009119.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009119.2,0,1,0,0,0,0,1,0,0,1,1,0,0,2,0,0
AC009119.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009120.1,21,19,8,12,4,11,13,19,7,15,7,8,1,13,14,16
AC009120.2,10,10,3,10,10,2,3,8,14,12,3,5,3,13,5,8
AC009120.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009120.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009120.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009120.6,1,3,1,0,0,0,1,1,1,2,0,1,0,1,2,0
AC009120.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009121.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009121.2,2,1,0,3,2,0,2,1,0,2,2,1,0,0,3,0
AC009122.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009123.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009126.1,12,3,6,1,3,3,1,0,7,5,2,1,1,3,1,2
AC009127.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009127.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AC009127.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009132.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009133.1,22,33,7,3,7,15,1,7,31,48,4,4,0,13,11,12
AC009133.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009133.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AC009133.4,8,3,0,2,1,0,4,0,9,8,1,1,1,1,4,1
AC009133.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009133.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009134.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009135.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009135.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009137.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009137.2,0,1,1,0,1,1,1,3,3,1,1,0,0,2,3,2
AC009139.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009139.2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
AC009142.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009145.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009145.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009145.4,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
AC009148.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
AC009152.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AC009153.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009154.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009154.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009158.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009159.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009159.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009159.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009159.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AC009161.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009161.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009163.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009163.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009163.3,0,0,1,5,2,0,3,1,0,2,0,1,0,1,1,0
AC009163.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009163.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009163.6,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0
AC009163.7,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
AC009166.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009166.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009167.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009169.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009171.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009171.2,15,23,7,7,8,8,3,3,15,37,6,4,3,9,5,5
AC009185.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009220.1,0,0,0,1,2,2,0,1,1,0,0,1,0,0,0,1
AC009220.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AC009220.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009226.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009227.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009227.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009228.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009229.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009229.2,19,5,0,0,0,6,11,20,18,6,2,2,1,9,14,21
AC009229.3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
AC009229.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
AC009233.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009234.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009237.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009237.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009237.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009237.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009237.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009237.14,30,35,6,9,20,14,11,15,22,53,9,6,9,28,21,14
AC009237.15,2,2,0,0,0,0,0,0,2,4,0,0,0,1,0,1
AC009237.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009237.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009237.3,107,81,11,9,5,43,10,19,101,122,5,6,6,51,22,24
AC009237.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009237.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009237.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009237.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009237.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009237.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009238.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009238.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009238.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009242.1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
AC009244.1,1,1,0,0,1,0,0,2,0,4,4,0,0,2,2,2
AC009245.1,0,2,0,0,3,0,0,4,0,5,3,1,2,1,2,6
AC009248.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009248.2,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
AC009262.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009263.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009264.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009268.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009268.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AC009269.1,1,0,0,2,1,0,0,0,1,2,3,0,1,3,0,2
AC009269.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009269.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009269.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009269.5,0,0,1,0,1,0,1,1,0,1,0,0,0,4,2,4
AC009269.6,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0
AC009271.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009275.1,26,25,9,10,4,24,2,8,30,22,15,6,0,34,11,8
AC009276.1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
AC009283.1,9,8,3,2,10,4,10,11,7,13,4,2,6,4,4,11
AC009292.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009292.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009296.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AC009299.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009299.2,2,3,2,1,2,2,1,0,2,1,4,1,0,3,1,1
AC009299.3,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0
AC009302.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009303.1,1,1,0,1,0,1,0,2,1,3,3,0,0,3,1,2
AC009303.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009303.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009303.4,12,11,13,20,23,12,8,9,5,17,14,19,7,19,13,16
AC009305.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009309.1,19,22,4,8,4,7,2,7,8,23,12,7,3,6,4,9
AC009310.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009312.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009313.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009313.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009314.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC009318.1,0,1,0,1,1,0,0,0,0,2,1,1,1,0,1,0
AC009318.2,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0
AC009318.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AC009318.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009319.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009320.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009336.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009336.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009336.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009362.1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0
AC009365.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009365.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009387.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009396.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009396.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009396.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009403.1,58,45,18,9,5,36,28,21,63,54,12,8,1,33,21,38
AC009403.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009404.1,0,0,0,1,3,1,1,0,1,2,1,1,2,3,1,1
AC009407.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AC009411.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009411.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009413.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009414.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009414.2,43,34,10,8,13,26,9,12,60,59,5,6,5,46,9,16
AC009432.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009435.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009446.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009452.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009464.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC009468.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009468.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009474.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009474.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009477.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009477.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009478.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009480.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009480.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009486.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AC009487.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009487.2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,2
AC009487.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009487.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009494.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009495.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009495.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009495.3,2,2,2,4,0,3,2,2,2,12,1,0,2,3,2,4
AC009498.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009500.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009501.1,7,2,0,2,0,3,1,0,5,4,1,0,0,4,4,6
AC009501.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009501.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AC009502.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AC009502.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009505.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009506.1,11,34,9,6,4,1,2,9,15,62,7,4,0,10,8,7
AC009506.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009509.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009509.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009509.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009509.4,2,1,0,1,0,1,2,0,0,1,0,0,0,1,1,2
AC009511.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009511.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AC009517.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009518.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009518.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009518.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009531.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009533.1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
AC009533.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AC009541.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009542.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009542.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009549.1,4,3,1,0,0,2,0,2,4,4,0,1,0,4,1,2
AC009554.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009558.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009558.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009560.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009562.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009563.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009567.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009567.2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
AC009570.1,6,6,1,1,0,0,1,1,14,17,1,2,0,3,2,0
AC009597.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009597.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009623.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009623.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009630.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009630.2,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0
AC009630.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009643.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009643.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009646.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009646.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009652.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AC009652.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009654.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC009656.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
