Gene,HCC70_D_a,HCC70_J_a,HCC70_JB2_a,HCC70_JB3_a,HCC70_JB6_a,HCC70_B2_a,HCC70_B3_a,HCC70_B6_a,HCC70_D_b,HCC70_J_b,HCC70_JB2_b,HCC70_JB3_b,HCC70_JB6_b,HCC70_B2_b,HCC70_B3_b,HCC70_B6_b
RICTOR,93,65,46,80,66,40,54,75,60,95,67,49,19,119,92,143
RIDA,117,162,50,74,57,51,23,74,144,204,29,38,26,68,48,73
RIF1,12,15,3,15,7,11,11,12,11,12,5,2,7,10,13,22
RIIAD1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
RILP,111,45,17,13,20,44,15,19,123,74,19,8,7,54,32,25
RILPL1,83,60,28,16,26,49,33,53,131,77,14,14,4,71,41,41
RILPL2,3,1,1,6,2,0,2,1,4,0,0,0,2,1,1,0
RIMBP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIMBP3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIMBP3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIMBP3C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
RIMKLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIMKLB,44,40,18,6,10,23,12,40,51,45,12,6,1,30,24,51
RIMKLBP1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
RIMKLBP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIMS1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
RIMS2,98,41,26,32,15,45,41,100,90,62,16,12,2,84,80,116
RIMS3,38,13,8,5,15,25,7,18,56,31,6,2,5,50,12,25
RIMS4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
RIN1,64,13,20,14,32,48,22,41,90,26,21,10,12,54,46,45
RIN2,67,24,6,2,3,15,19,23,59,37,3,3,2,37,29,29
RIN3,266,107,37,15,24,165,58,90,332,237,27,12,17,208,104,110
RING1,338,299,169,127,114,211,149,221,486,447,107,104,54,280,175,227
RINL,243,84,34,23,43,95,36,59,217,113,39,20,6,162,68,81
RINT1,74,91,82,85,53,121,71,148,117,132,52,64,16,128,97,98
RIOK1,148,106,79,46,41,87,59,104,185,158,42,47,20,119,91,116
RIOK2,36,46,35,54,37,35,26,65,39,69,16,40,15,50,50,63
RIOK3,714,641,992,1188,1282,846,765,1353,594,868,923,893,452,1255,1199,1672
RIOK3P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIOX1,66,55,24,38,57,49,37,49,50,81,23,15,19,54,42,82
RIOX2,205,181,90,63,74,168,110,142,289,273,58,36,10,242,147,131
RIPK1,263,235,118,156,181,157,98,186,259,310,132,111,62,188,162,219
RIPK2,217,202,217,165,207,372,218,379,309,286,194,165,77,490,336,391
RIPK3,44,15,11,6,10,54,30,23,50,15,13,7,1,55,37,42
